SerialNr,MaterialNr_x,CheckMode_x,TestSystem_x,Description_x,Date_x,Time_x,Error_x,ErrorCat_x,Duration_x,Duration.1_x,col_11,col_12,col_13,MaterialNr_y,CheckMode_y,TestSystem_y,Description_y,Date_y,Time_y,Error_y,ErrorCat_y,Duration_y,Duration.1_y,col_21,col_22,col_23,MaterialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_31
1011,MatNr1,PrMod2,TSys54,AB-1CD-1,28.11.2023,20:28:01,OK,OK,00:01:58,00:01:58,1.0,18.0,13.0,MatNr1,PrMod2,TSys27,AB-1CD-6,28.11.2023,20:32:51,OK,OK,00:02:30,00:02:30,42.0,19.599999999999984,1.0,MatNr1,PrMod1,TSys54,AB-3CD-7,28.11.2023,20:39:18,angel_to_wide,Tolerance_violence,00:01:46,00:01:46,0.0
1012,MatNr2,PrMod1,TSys27,AB-2CD-0,28.11.2023,20:54:38,OK,OK,00:01:41,00:01:41,75.0,22.0,18.0,MatNr2,PrMod2,TSys27,AB-2CD-3,28.11.2023,20:59:40,OK,OK,00:01:48,00:01:48,64.0,8.399999999999995,1.0,MatNr2,PrMod1,TSys32,AB-3CD-1,28.11.2023,21:04:54,OK,OK,00:02:29,00:02:29,0.0
1013,MatNr3,PrMod1,TSys32,AB-3CD-3,28.11.2023,21:20:44,OK,OK,00:02:02,00:02:02,0.2,76.0,21.0,MatNr3,PrMod3,TSys54,AB-3CD-4,28.11.2023,21:26:26,OK,OK,00:01:46,00:01:46,56.0,19.099999999999987,1.0,MatNr3,PrMod1,TSys32,AB-3CD-2,28.11.2023,21:28:49,Angel_to_low,Tolerance_violence,00:02:02,00:02:02,0.0
1014,MatNr3,PrMod1,TSys27,AB-3CD-6,28.11.2023,21:43:07,OK,OK,00:02:10,00:02:10,78.0,10.0,24.0,MatNr3,PrMod1,TSys27,AB-1CD-8,28.11.2023,21:49:25,OK,OK,00:01:54,00:01:54,63.0,9.299999999999992,0.0,MatNr3,PrMod2,TSys32,AB-1CD-7,28.11.2023,21:55:09,OK,OK,00:02:10,00:02:10,0.0
1015,MatNr2,PrMod2,TSys27,AB-2CD-7,28.11.2023,22:10:54,OK,OK,00:01:56,00:01:56,0.5,70.0,17.09,MatNr2,PrMod1,TSys27,AB-1CD-4,28.11.2023,22:15:56,OK,OK,00:01:46,00:01:46,59.0,8.399999999999995,1.0,MatNr2,PrMod1,TSys32,AB-3CD-8,28.11.2023,22:21:39,OK,OK,00:01:49,00:01:49,0.0
1016,MatNr1,PrMod3,TSys54,AB-1CD-5,28.11.2023,22:33:41,OK,OK,00:02:11,00:02:11,98.0,45.0,14.0,MatNr1,PrMod3,TSys27,AB-3CD-7,28.11.2023,22:39:37,OK,OK,00:01:43,00:01:43,47.0,7.9999999999999964,1.0,MatNr1,PrMod4,TSys32,AB-1CD-8,28.11.2023,22:43:42,OK,OK,00:02:12,00:02:12,0.0
1017,MatNr2,PrMod4,TSys32,AB-2CD-1,28.11.2023,22:56:54,OK,OK,00:02:24,00:02:24,1.5000000000000002,74.0,26.0,MatNr2,PrMod3,TSys27,AB-1CD-3,28.11.2023,23:02:22,OK,OK,00:01:49,00:01:49,54.0,17.89999999999999,0.0,MatNr2,PrMod3,TSys54,AB-1CD-2,28.11.2023,23:12:12,angel_to_wide,Tolerance_violence,00:01:26,00:01:26,0.0
1017,MatNr2,PrMod4,TSys32,AB-2CD-1,28.11.2023,22:56:54,OK,OK,00:02:24,00:02:24,1.5000000000000002,74.0,26.0,MatNr2,PrMod3,TSys27,AB-1CD-3,28.11.2023,23:07:12,angel_to_wide,Tolerance_violence,00:01:56,00:01:56,54.0,17.89999999999999,0.0,MatNr2,PrMod3,TSys54,AB-1CD-2,28.11.2023,23:12:12,angel_to_wide,Tolerance_violence,00:01:26,00:01:26,0.0
1018,MatNr3,PrMod4,TSys54,AB-3CD-7,28.11.2023,23:23:46,OK,OK,00:02:06,00:02:06,84.0,79.0,16.0,MatNr3,PrMod1,TSys54,AB-2CD-3,28.11.2023,23:28:43,OK,OK,00:01:22,00:01:22,54.0,7.499999999999998,-4.05,MatNr3,PrMod3,TSys27,AB-3CD-6,28.11.2023,23:32:46,OK,OK,00:02:04,00:02:04,0.0
1019,MatNr3,PrMod2,TSys32,AB-3CD-0,28.11.2023,23:49:00,OK,OK,00:01:57,00:01:57,0.5,6.0,29.0,MatNr3,PrMod1,TSys27,AB-3CD-4,28.11.2023,23:53:42,OK,OK,00:02:27,00:02:27,53.0,7.0,2.0,MatNr3,PrMod2,TSys27,AB-1CD-9,28.11.2023,23:58:28,OK,OK,00:02:26,00:02:26,0.0
1020,MatNr1,PrMod3,TSys27,AB-1CD-9,29.11.2023,00:11:35,OK,OK,00:01:46,00:01:46,73.0,71.0,15.0,MatNr1,PrMod4,TSys32,AB-2CD-6,29.11.2023,00:15:27,OK,OK,00:02:06,00:02:06,65.0,15.599999999999998,1.0,MatNr1,PrMod3,TSys27,AB-2CD-4,29.11.2023,00:20:45,OK,OK,00:01:54,00:01:54,0.0
1021,MatNr1,PrMod4,TSys27,AB-1CD-1,29.11.2023,00:36:00,OK,OK,00:02:08,00:02:08,86.0,36.0,21.0,MatNr1,PrMod4,TSys32,AB-2CD-1,29.11.2023,00:41:41,OK,OK,00:02:03,00:02:03,43.0,7.599999999999998,-2.56,MatNr1,PrMod3,TSys27,AB-2CD-1,29.11.2023,00:47:18,OK,OK,00:01:46,00:01:46,0.0
1022,MatNr1,PrMod2,TSys32,AB-1CD-9,29.11.2023,01:00:20,OK,OK,00:02:20,00:02:20,0.4,18.0,26.0,MatNr1,PrMod2,TSys32,AB-2CD-7,29.11.2023,01:06:42,OK,OK,00:02:00,00:02:00,42.0,15.0,2.0,MatNr1,PrMod3,TSys54,AB-2CD-0,29.11.2023,01:10:47,OK,OK,00:01:58,00:01:58,0.0
1023,MatNr2,PrMod1,TSys27,AB-2CD-1,29.11.2023,01:24:00,OK,OK,00:01:46,00:01:46,1.5000000000000002,35.0,18.59,MatNr2,PrMod1,TSys32,AB-3CD-9,29.11.2023,01:30:36,OK,OK,00:01:48,00:01:48,43.0,17.59999999999999,0.0,MatNr2,PrMod2,TSys32,AB-1CD-7,29.11.2023,01:36:11,OK,OK,00:01:21,00:01:21,0.0
1024,MatNr3,PrMod2,TSys27,AB-3CD-4,29.11.2023,01:49:58,OK,OK,00:01:42,00:01:42,97.0,7.0,21.0,MatNr3,PrMod3,TSys54,AB-3CD-0,29.11.2023,01:55:14,OK,OK,00:01:57,00:01:57,40.0,16.299999999999997,1.0,MatNr3,PrMod2,TSys27,AB-3CD-2,29.11.2023,01:59:34,OK,OK,00:02:03,00:02:03,0.0
1025,MatNr1,PrMod3,TSys54,AB-1CD-9,29.11.2023,02:13:10,OK,OK,00:02:11,00:02:11,0.4,53.0,6.0,MatNr1,PrMod2,TSys27,AB-1CD-3,29.11.2023,02:18:25,OK,OK,00:02:16,00:02:16,56.0,18.599999999999987,1.0,MatNr1,PrMod4,TSys27,AB-2CD-9,29.11.2023,02:23:37,angel_to_wide,Tolerance_violence,00:02:05,00:02:05,0.0
1026,MatNr1,PrMod1,TSys27,AB-1CD-2,29.11.2023,02:36:30,OK,OK,00:01:35,00:01:35,82.0,54.0,5.0,MatNr1,PrMod3,TSys54,AB-2CD-9,29.11.2023,02:40:55,OK,OK,00:02:09,00:02:09,56.0,15.2,1.0,MatNr1,PrMod2,TSys32,AB-2CD-6,29.11.2023,02:47:19,OK,OK,00:02:06,00:02:06,0.0
1027,MatNr2,PrMod3,TSys27,AB-2CD-6,29.11.2023,03:00:07,OK,OK,00:01:59,00:01:59,86.0,38.0,8.35,MatNr2,PrMod4,TSys54,AB-3CD-2,29.11.2023,03:05:52,OK,OK,00:02:07,00:02:07,58.0,7.399999999999999,2.0,MatNr2,PrMod2,TSys54,AB-3CD-9,29.11.2023,03:12:29,OK,OK,00:01:58,00:01:58,0.0
1028,MatNr2,PrMod4,TSys27,AB-2CD-7,29.11.2023,03:25:40,OK,OK,00:02:04,00:02:04,97.0,13.0,28.0,MatNr2,PrMod3,TSys54,AB-1CD-8,29.11.2023,03:30:08,OK,OK,00:01:17,00:01:17,46.0,7.699999999999997,0.0,MatNr2,PrMod4,TSys54,AB-3CD-7,29.11.2023,03:33:45,OK,OK,00:01:22,00:01:22,0.0
1029,MatNr3,PrMod4,TSys54,AB-3CD-0,29.11.2023,03:46:40,OK,OK,00:01:17,00:01:17,82.0,-235.86,22.0,MatNr3,PrMod1,TSys27,AB-1CD-4,29.11.2023,03:51:28,OK,OK,00:01:51,00:01:51,41.0,7.899999999999997,1.6,MatNr3,PrMod1,TSys32,AB-1CD-0,29.11.2023,03:55:57,OK,OK,00:02:03,00:02:03,0.0
1030,MatNr3,PrMod3,TSys32,AB-3CD-7,29.11.2023,04:09:00,OK,OK,00:01:44,00:01:44,1.0,23.0,20.0,MatNr3,PrMod3,TSys27,AB-3CD-2,29.11.2023,04:14:16,OK,OK,00:01:50,00:01:50,46.0,16.199999999999996,0.0,MatNr3,PrMod2,TSys54,AB-2CD-6,29.11.2023,04:20:07,OK,OK,00:01:27,00:01:27,0.0
1031,MatNr2,PrMod1,TSys27,AB-2CD-1,29.11.2023,04:33:11,OK,OK,00:02:06,00:02:06,89.0,9.0,-4.04,MatNr2,PrMod4,TSys32,AB-1CD-0,29.11.2023,04:38:44,OK,OK,00:01:43,00:01:43,46.0,19.399999999999984,1.0,MatNr2,PrMod4,TSys54,AB-3CD-1,29.11.2023,04:42:15,OK,OK,00:01:50,00:01:50,0.0
1032,MatNr3,PrMod2,TSys27,AB-3CD-9,29.11.2023,04:53:55,OK,OK,00:01:45,00:01:45,0.3,58.0,15.0,MatNr3,PrMod3,TSys32,AB-3CD-1,29.11.2023,04:58:28,OK,OK,00:02:36,00:02:36,54.0,8.899999999999993,2.0,MatNr3,PrMod3,TSys54,AB-1CD-4,29.11.2023,05:03:28,System_issue,System_error,00:02:10,00:02:10,0.0
1032,MatNr3,PrMod2,TSys27,AB-3CD-9,29.11.2023,04:53:55,OK,OK,00:01:45,00:01:45,0.3,58.0,15.0,MatNr3,PrMod3,TSys32,AB-3CD-1,29.11.2023,04:58:28,OK,OK,00:02:36,00:02:36,54.0,8.899999999999993,2.0,MatNr3,PrMod3,TSys54,AB-1CD-4,29.11.2023,05:09:22,System_issue,System_error,00:01:52,00:01:52,0.0
1033,MatNr3,PrMod4,TSys54,AB-3CD-3,29.11.2023,05:22:15,OK,OK,00:02:29,00:02:29,0.9,98.0,17.0,MatNr3,PrMod3,TSys27,AB-1CD-5,29.11.2023,05:27:59,OK,OK,00:01:40,00:01:40,59.0,8.399999999999995,0.0,MatNr3,PrMod3,TSys54,AB-3CD-6,29.11.2023,05:33:08,OK,OK,00:02:00,00:02:00,0.0
1034,MatNr2,PrMod3,TSys54,AB-2CD-0,29.11.2023,05:45:44,OK,OK,00:02:01,00:02:01,86.0,34.0,23.0,MatNr2,PrMod4,TSys32,AB-2CD-6,29.11.2023,05:51:29,OK,OK,00:01:49,00:01:49,44.0,7.299999999999999,1.0,MatNr2,PrMod1,TSys27,AB-3CD-5,29.11.2023,05:56:52,OK,OK,00:01:37,00:01:37,0.0
1035,MatNr3,PrMod4,TSys32,AB-3CD-8,29.11.2023,06:08:36,OK,OK,00:02:05,00:02:05,70.0,45.0,-19.72,MatNr3,PrMod4,TSys54,AB-1CD-9,29.11.2023,06:12:13,OK,OK,00:01:52,00:01:52,48.0,18.29999999999999,2.0,MatNr3,PrMod3,TSys27,AB-2CD-7,29.11.2023,06:15:55,OK,OK,00:01:46,00:01:46,0.0
1036,MatNr3,PrMod1,TSys54,AB-3CD-4,29.11.2023,06:29:42,OK,OK,00:01:45,00:01:45,91.0,56.0,14.0,MatNr3,PrMod3,TSys54,AB-1CD-9,29.11.2023,06:34:38,OK,OK,00:01:37,00:01:37,52.0,15.499999999999998,2.0,MatNr3,PrMod1,TSys54,AB-3CD-9,29.11.2023,06:39:31,OK,OK,00:02:23,00:02:23,0.0
1037,MatNr3,PrMod2,TSys54,AB-3CD-1,29.11.2023,06:54:45,OK,OK,00:02:08,00:02:08,70.0,90.0,20.0,MatNr3,PrMod1,TSys27,AB-2CD-3,29.11.2023,06:59:51,OK,OK,00:02:03,00:02:03,51.0,19.299999999999983,4.29,MatNr3,PrMod2,TSys32,AB-3CD-0,29.11.2023,07:05:00,OK,OK,00:02:01,00:02:01,0.0
1038,MatNr2,PrMod1,TSys32,AB-2CD-1,29.11.2023,07:19:24,OK,OK,00:02:12,00:02:12,90.0,33.0,14.0,MatNr2,PrMod1,TSys27,AB-3CD-5,29.11.2023,07:25:40,OK,OK,00:02:16,00:02:16,49.0,8.199999999999996,0.0,MatNr2,PrMod2,TSys27,AB-1CD-7,29.11.2023,07:30:51,OK,OK,00:02:05,00:02:05,0.0
1039,MatNr1,PrMod1,TSys32,AB-1CD-0,29.11.2023,07:43:23,OK,OK,00:01:52,00:01:52,77.0,70.0,6.0,MatNr1,PrMod1,TSys32,AB-2CD-2,29.11.2023,07:49:58,OK,OK,00:01:48,00:01:48,47.0,19.399999999999984,1.0,MatNr1,PrMod4,TSys27,AB-1CD-4,29.11.2023,07:54:59,OK,OK,00:02:00,00:02:00,0.0
1040,MatNr3,PrMod3,TSys54,AB-3CD-2,29.11.2023,08:09:09,OK,OK,00:02:03,00:02:03,97.0,22.0,16.0,MatNr3,PrMod2,TSys54,AB-1CD-6,29.11.2023,08:13:50,OK,OK,00:02:01,00:02:01,40.0,18.29999999999999,1.0,MatNr3,PrMod1,TSys32,AB-1CD-5,29.11.2023,08:19:15,OK,OK,00:01:36,00:01:36,0.0
1041,MatNr1,PrMod2,TSys32,AB-1CD-4,29.11.2023,08:32:38,OK,OK,00:02:14,00:02:14,0.7000000000000001,34.0,25.0,MatNr1,PrMod4,TSys54,AB-1CD-7,29.11.2023,08:38:06,OK,OK,00:01:57,00:01:57,53.0,9.69999999999999,0.0,MatNr1,PrMod3,TSys27,AB-3CD-6,29.11.2023,08:43:05,OK,OK,00:02:36,00:02:36,0.0
1042,MatNr1,PrMod3,TSys54,AB-1CD-9,29.11.2023,08:58:18,OK,OK,00:01:37,00:01:37,90.0,21.0,10.0,MatNr1,PrMod1,TSys27,AB-2CD-1,29.11.2023,09:04:14,OK,OK,00:02:19,00:02:19,68.0,8.499999999999995,2.0,MatNr1,PrMod4,TSys54,AB-1CD-9,29.11.2023,09:10:28,OK,OK,00:02:07,00:02:07,0.0
1043,MatNr1,PrMod4,TSys32,AB-1CD-4,29.11.2023,09:25:32,OK,OK,00:01:55,00:01:55,0.4,30.0,10.0,MatNr1,PrMod1,TSys54,AB-2CD-5,29.11.2023,09:31:48,OK,OK,00:01:54,00:01:54,60.0,7.499999999999998,0.0,MatNr1,PrMod2,TSys54,AB-1CD-1,29.11.2023,09:37:05,OK,OK,00:01:45,00:01:45,0.0
1044,MatNr3,PrMod4,TSys54,AB-3CD-1,29.11.2023,09:50:22,OK,OK,00:01:45,00:01:45,94.0,81.0,15.0,MatNr3,PrMod4,TSys54,AB-3CD-8,29.11.2023,09:53:43,OK,OK,00:01:48,00:01:48,49.0,7.899999999999997,1.0,MatNr3,PrMod4,TSys54,AB-3CD-0,29.11.2023,09:58:35,OK,OK,00:02:11,00:02:11,0.0
1045,MatNr2,PrMod1,TSys32,AB-2CD-2,29.11.2023,10:10:22,OK,OK,00:01:30,00:01:30,77.0,1.0,9.0,MatNr2,PrMod3,TSys54,AB-1CD-5,29.11.2023,10:13:37,OK,OK,00:02:04,00:02:04,64.0,9.59999999999999,2.0,MatNr2,PrMod4,TSys32,AB-2CD-9,29.11.2023,10:18:25,OK,OK,00:02:45,00:02:45,0.0
1046,MatNr1,PrMod2,TSys27,AB-1CD-2,29.11.2023,10:33:38,OK,OK,00:02:02,00:02:02,86.0,55.0,7.0,MatNr1,PrMod4,TSys32,AB-1CD-5,29.11.2023,10:38:11,OK,OK,00:02:05,00:02:05,56.0,15.999999999999996,0.0,MatNr1,PrMod3,TSys27,AB-1CD-5,29.11.2023,10:43:53,OK,OK,00:02:27,00:02:27,0.0
1047,MatNr2,PrMod2,TSys27,AB-2CD-6,29.11.2023,10:56:31,OK,OK,00:02:35,00:02:35,0.1,50.0,23.0,MatNr2,PrMod3,TSys27,AB-1CD-2,29.11.2023,11:02:21,OK,OK,00:02:11,00:02:11,56.0,16.099999999999994,2.0,MatNr2,PrMod1,TSys32,AB-2CD-6,29.11.2023,11:07:07,OK,OK,00:02:20,00:02:20,0.0
1048,MatNr3,PrMod1,TSys54,AB-3CD-8,29.11.2023,11:20:21,OK,OK,00:01:07,00:01:07,1.4,30.0,16.0,MatNr3,PrMod2,TSys54,AB-1CD-3,29.11.2023,11:28:18,OK,OK,00:02:10,00:02:10,55.0,7.399999999999999,2.0,MatNr3,PrMod4,TSys27,AB-1CD-8,29.11.2023,11:33:58,Angel_to_low,Tolerance_violence,00:02:05,00:02:05,0.0
1048,MatNr3,PrMod1,TSys54,AB-3CD-8,29.11.2023,11:24:06,OK,OK,00:01:53,00:01:53,1.4,30.0,16.0,MatNr3,PrMod2,TSys54,AB-1CD-3,29.11.2023,11:28:18,OK,OK,00:02:10,00:02:10,55.0,7.399999999999999,2.0,MatNr3,PrMod4,TSys27,AB-1CD-8,29.11.2023,11:33:58,Angel_to_low,Tolerance_violence,00:02:05,00:02:05,0.0
1049,MatNr3,PrMod4,TSys27,AB-3CD-2,29.11.2023,11:47:31,OK,OK,00:02:23,00:02:23,0.6,32.0,8.0,MatNr3,PrMod4,TSys32,AB-3CD-5,29.11.2023,11:52:21,OK,OK,00:02:06,00:02:06,53.0,15.999999999999996,2.0,MatNr3,PrMod2,TSys32,AB-2CD-8,29.11.2023,11:57:25,OK,OK,00:01:54,00:01:54,0.0
1050,MatNr3,PrMod2,TSys32,AB-3CD-6,29.11.2023,12:11:49,OK,OK,00:01:50,00:01:50,0.7000000000000001,47.0,27.0,MatNr3,PrMod2,TSys27,AB-3CD-9,29.11.2023,12:17:07,OK,OK,00:02:20,00:02:20,46.0,18.69999999999999,2.0,MatNr3,PrMod3,TSys54,AB-3CD-1,29.11.2023,12:22:05,OK,OK,00:02:05,00:02:05,0.0
1051,MatNr2,PrMod1,TSys54,AB-2CD-0,29.11.2023,12:35:55,OK,OK,00:02:55,00:02:55,83.0,54.0,17.0,MatNr2,PrMod1,TSys54,AB-1CD-2,29.11.2023,12:42:39,OK,OK,00:01:58,00:01:58,69.0,7.899999999999997,2.0,MatNr2,PrMod1,TSys27,AB-3CD-5,29.11.2023,12:46:10,OK,OK,00:02:06,00:02:06,0.0
1052,MatNr3,PrMod3,TSys54,AB-3CD-2,29.11.2023,13:00:23,OK,OK,00:01:19,00:01:19,81.0,16.0,23.0,MatNr3,PrMod2,TSys54,AB-3CD-5,29.11.2023,13:05:23,OK,OK,00:01:41,00:01:41,43.0,18.499999999999982,2.0,MatNr3,PrMod4,TSys27,AB-3CD-3,29.11.2023,13:11:29,OK,OK,00:01:33,00:01:33,-0.0
1053,MatNr3,PrMod3,TSys54,AB-3CD-5,29.11.2023,13:24:47,OK,OK,00:02:03,00:02:03,98.0,79.0,10.0,MatNr3,PrMod4,TSys32,AB-3CD-7,29.11.2023,13:31:06,OK,OK,00:01:56,00:01:56,49.0,18.29999999999999,0.0,MatNr3,PrMod3,TSys54,AB-2CD-2,29.11.2023,13:41:56,angel_to_wide,Tolerance_violence,00:01:46,00:01:46,0.0
1053,MatNr3,PrMod3,TSys54,AB-3CD-5,29.11.2023,13:24:47,OK,OK,00:02:03,00:02:03,98.0,79.0,10.0,MatNr3,PrMod4,TSys32,AB-3CD-7,29.11.2023,13:36:47,OK,OK,00:02:07,00:02:07,-31.93,18.29999999999999,0.0,MatNr3,PrMod3,TSys54,AB-2CD-2,29.11.2023,13:41:56,angel_to_wide,Tolerance_violence,00:01:46,00:01:46,0.0
1054,MatNr1,PrMod4,TSys54,AB-1CD-1,29.11.2023,13:54:07,OK,OK,00:02:40,00:02:40,71.0,24.0,25.0,MatNr1,PrMod3,TSys54,AB-2CD-8,29.11.2023,14:00:09,OK,OK,00:01:50,00:01:50,40.0,8.199999999999996,1.0,MatNr1,PrMod3,TSys27,AB-1CD-0,29.11.2023,14:03:31,Angel_to_low,Tolerance_violence,00:01:59,00:01:59,0.0
1055,MatNr3,PrMod3,TSys54,AB-3CD-9,29.11.2023,14:14:26,OK,OK,00:02:15,00:02:15,97.0,88.0,14.0,MatNr3,PrMod3,TSys32,AB-2CD-7,29.11.2023,14:20:12,OK,OK,00:02:00,00:02:00,6.91,8.799999999999994,2.0,MatNr3,PrMod2,TSys32,AB-1CD-7,29.11.2023,14:25:07,OK,OK,00:01:39,00:01:39,0.0
1056,MatNr1,PrMod1,TSys27,AB-1CD-8,29.11.2023,14:39:15,OK,OK,00:01:57,00:01:57,82.0,6.0,5.0,MatNr1,PrMod2,TSys32,AB-2CD-3,29.11.2023,14:44:42,OK,OK,00:02:29,00:02:29,61.0,9.89999999999999,2.0,MatNr1,PrMod1,TSys32,AB-2CD-9,29.11.2023,14:49:25,System_issue,System_error,00:02:14,00:02:14,0.0
1057,MatNr3,PrMod2,TSys32,AB-3CD-3,29.11.2023,15:04:45,OK,OK,00:02:43,00:02:43,86.0,87.0,17.0,MatNr3,PrMod4,TSys27,AB-3CD-6,29.11.2023,15:10:26,OK,OK,00:02:08,00:02:08,68.0,8.799999999999994,0.0,MatNr3,PrMod2,TSys27,AB-3CD-1,29.11.2023,15:15:16,OK,OK,00:01:27,00:01:27,0.0
1058,MatNr3,PrMod3,TSys54,AB-3CD-5,29.11.2023,15:28:14,OK,OK,00:01:37,00:01:37,95.0,-105.83,22.0,MatNr3,PrMod3,TSys54,AB-1CD-1,29.11.2023,15:33:00,OK,OK,00:02:40,00:02:40,46.0,7.599999999999998,1.0,MatNr3,PrMod1,TSys32,AB-2CD-7,29.11.2023,15:38:58,OK,OK,00:02:06,00:02:06,0.0
1059,MatNr3,PrMod4,TSys54,AB-3CD-9,29.11.2023,15:51:15,OK,OK,00:02:32,00:02:32,0.3,15.0,28.0,MatNr3,PrMod1,TSys54,AB-2CD-1,29.11.2023,15:57:17,OK,OK,00:01:38,00:01:38,54.0,8.199999999999996,1.0,MatNr3,PrMod1,TSys54,AB-3CD-6,29.11.2023,16:01:48,OK,OK,00:01:31,00:01:31,0.0
1060,MatNr1,PrMod1,TSys27,AB-1CD-2,29.11.2023,16:16:18,OK,OK,00:02:12,00:02:12,0.3,63.0,24.0,MatNr1,PrMod1,TSys32,AB-1CD-0,29.11.2023,16:22:02,OK,OK,00:01:25,00:01:25,55.0,18.69999999999999,0.0,MatNr1,PrMod1,TSys27,AB-2CD-2,29.11.2023,16:25:30,angel_to_wide,Tolerance_violence,00:01:39,00:01:39,0.0
