MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_31
MatNr1,1104,PrMod3,TSys54,AB-1CD-2,30.11.2023,09:45:08,OK,OK,00:01:44,00:01:44,0.0
MatNr3,1105,PrMod3,TSys32,AB-2CD-2,30.11.2023,10:09:49,OK,OK,00:02:15,00:02:15,0.0
MatNr3,1106,PrMod2,TSys54,AB-3CD-4,30.11.2023,10:33:59,OK,OK,00:01:47,00:01:47,0.0
MatNr2,1107,PrMod3,TSys32,AB-1CD-5,30.11.2023,10:58:16,OK,OK,00:02:33,00:02:33,0.0
MatNr3,1108,PrMod2,TSys32,AB-3CD-7,30.11.2023,11:20:35,OK,OK,00:01:44,00:01:44,0.0
MatNr3,1109,PrMod1,TSys32,AB-2CD-7,30.11.2023,11:41:37,OK,OK,00:01:43,00:01:43,0.0
MatNr3,1110,PrMod4,TSys32,AB-3CD-2,30.11.2023,12:07:07,OK,OK,00:01:02,00:01:02,0.0
MatNr3,1111,PrMod1,TSys27,AB-1CD-5,30.11.2023,12:31:49,OK,OK,00:02:02,00:02:02,0.0
MatNr1,1112,PrMod1,TSys32,AB-1CD-4,30.11.2023,13:00:55,System_issue,System_error,00:01:47,00:01:47,0.0
MatNr1,1113,PrMod2,TSys27,AB-3CD-6,30.11.2023,13:24:51,OK,OK,00:02:00,00:02:00,0.0
MatNr3,1114,PrMod1,TSys32,AB-3CD-5,30.11.2023,13:47:03,Angel_to_low,Tolerance_violence,00:01:57,00:01:57,0.0
MatNr1,1115,PrMod2,TSys27,AB-1CD-2,30.11.2023,14:11:23,OK,OK,00:01:40,00:01:40,0.0
MatNr2,1116,PrMod2,TSys32,AB-3CD-3,30.11.2023,14:39:45,OK,OK,00:01:58,00:01:58,0.0
MatNr2,1117,PrMod2,TSys32,AB-2CD-8,30.11.2023,15:07:45,angel_to_wide,Tolerance_violence,00:01:35,00:01:35,0.0
MatNr3,1118,PrMod2,TSys54,AB-3CD-7,30.11.2023,15:35:12,angel_to_wide,Tolerance_violence,00:01:55,00:01:55,0.0
MatNr2,1119,PrMod1,TSys27,AB-2CD-3,30.11.2023,15:59:47,OK,OK,00:02:03,00:02:03,0.0
MatNr3,1120,PrMod1,TSys27,AB-2CD-1,30.11.2023,16:25:09,System_issue,System_error,00:02:02,00:02:02,0.0
MatNr2,1121,PrMod2,TSys32,AB-1CD-0,30.11.2023,16:48:49,Angel_to_low,Tolerance_violence,00:02:36,00:02:36,-0.0
MatNr3,1122,PrMod4,TSys32,AB-1CD-8,30.11.2023,17:12:29,OK,OK,00:01:49,00:01:49,0.0
MatNr2,1123,PrMod1,TSys32,AB-2CD-4,30.11.2023,17:35:00,angel_to_wide,Tolerance_violence,00:02:05,00:02:05,0.0
MatNr1,1124,PrMod4,TSys54,AB-1CD-8,30.11.2023,17:56:12,OK,OK,00:02:22,00:02:22,0.0
MatNr1,1125,PrMod4,TSys32,AB-1CD-8,30.11.2023,18:20:44,OK,OK,00:01:43,00:01:43,-0.0
MatNr2,1126,PrMod4,TSys27,AB-2CD-6,30.11.2023,18:44:43,OK,OK,00:02:09,00:02:09,0.0
MatNr3,1127,PrMod3,TSys54,AB-1CD-0,30.11.2023,19:09:10,OK,OK,00:01:40,00:01:40,0.0
MatNr2,1128,PrMod1,TSys27,AB-1CD-1,30.11.2023,19:34:33,OK,OK,00:01:27,00:01:27,0.0
MatNr2,1129,PrMod4,TSys54,AB-1CD-7,30.11.2023,19:55:21,OK,OK,00:01:51,00:01:51,0.0
MatNr2,1130,PrMod2,TSys54,AB-3CD-3,30.11.2023,20:19:30,OK,OK,00:01:36,00:01:36,0.0
MatNr2,1131,PrMod1,TSys27,AB-2CD-3,30.11.2023,20:42:00,OK,OK,00:02:22,00:02:22,0.0
MatNr1,1132,PrMod3,TSys54,AB-2CD-6,30.11.2023,21:07:52,OK,OK,00:01:27,00:01:27,0.0
MatNr1,1133,PrMod2,TSys27,AB-1CD-4,30.11.2023,21:32:55,System_issue,System_error,00:02:03,00:02:03,0.0
MatNr2,1134,PrMod3,TSys54,AB-1CD-1,30.11.2023,21:55:39,OK,OK,00:01:36,00:01:36,0.0
MatNr3,1135,PrMod3,TSys27,AB-1CD-4,30.11.2023,22:19:57,angel_to_wide,Tolerance_violence,00:01:55,00:01:55,0.0
MatNr2,1136,PrMod1,TSys32,AB-2CD-2,30.11.2023,22:44:19,OK,OK,00:02:10,00:02:10,0.0
MatNr3,1137,PrMod4,TSys27,AB-2CD-4,30.11.2023,23:08:06,OK,OK,00:02:13,00:02:13,0.0
MatNr3,1138,PrMod2,TSys32,AB-3CD-1,30.11.2023,23:36:59,angel_to_wide,Tolerance_violence,00:02:19,00:02:19,0.0
MatNr1,1139,PrMod2,TSys27,AB-2CD-2,01.12.2023,00:02:05,OK,OK,00:02:25,00:02:25,0.0
MatNr1,1140,PrMod2,TSys27,AB-1CD-0,01.12.2023,00:25:00,angel_to_wide,Tolerance_violence,00:02:03,00:02:03,0.0
MatNr3,1141,PrMod2,TSys32,AB-2CD-5,01.12.2023,00:48:58,angel_to_wide,Tolerance_violence,00:01:42,00:01:42,0.0
MatNr3,1142,PrMod1,TSys54,AB-1CD-0,01.12.2023,01:10:34,OK,OK,00:02:02,00:02:02,0.0
MatNr3,1143,PrMod4,TSys32,AB-2CD-8,01.12.2023,01:34:53,OK,OK,00:01:38,00:01:38,0.0
MatNr1,1144,PrMod4,TSys54,AB-2CD-0,01.12.2023,01:58:36,OK,OK,00:01:48,00:01:48,0.0
MatNr3,1145,PrMod4,TSys32,AB-1CD-6,01.12.2023,02:25:23,OK,OK,00:02:03,00:02:03,0.0
MatNr1,1146,PrMod1,TSys27,AB-2CD-0,01.12.2023,02:50:25,OK,OK,00:01:56,00:01:56,0.0
MatNr2,1147,PrMod4,TSys27,AB-1CD-6,01.12.2023,03:14:15,System_issue,System_error,00:02:31,00:02:31,0.0
MatNr2,1148,PrMod3,TSys54,AB-1CD-2,01.12.2023,03:38:19,OK,OK,00:02:31,00:02:31,0.0
MatNr3,1149,PrMod4,TSys32,AB-2CD-9,01.12.2023,04:01:52,OK,OK,00:02:20,00:02:20,0.0
MatNr2,1150,PrMod2,TSys27,AB-2CD-0,01.12.2023,04:25:11,OK,OK,00:02:06,00:02:06,0.0
MatNr3,1151,PrMod2,TSys32,AB-3CD-9,01.12.2023,04:52:12,OK,OK,00:01:51,00:01:51,0.0
MatNr2,1152,PrMod2,TSys54,AB-2CD-3,01.12.2023,05:17:06,OK,OK,00:01:58,00:01:58,0.0
MatNr1,1153,PrMod2,TSys27,AB-2CD-2,01.12.2023,05:39:39,OK,OK,00:01:30,00:01:30,0.0
MatNr2,1154,PrMod4,TSys27,AB-3CD-4,01.12.2023,06:04:53,OK,OK,00:01:38,00:01:38,0.0
MatNr3,1155,PrMod4,TSys54,AB-2CD-6,01.12.2023,06:28:13,OK,OK,00:01:46,00:01:46,0.0
MatNr2,1156,PrMod4,TSys27,AB-1CD-9,01.12.2023,06:52:02,OK,OK,00:02:12,00:02:12,0.0
MatNr2,1157,PrMod1,TSys27,AB-3CD-5,01.12.2023,07:15:37,OK,OK,00:02:13,00:02:13,0.0
MatNr1,1158,PrMod3,TSys32,AB-1CD-8,01.12.2023,07:37:22,OK,OK,00:01:46,00:01:46,0.0
MatNr1,1159,PrMod1,TSys54,AB-3CD-5,01.12.2023,08:00:29,OK,OK,00:02:10,00:02:10,0.0
MatNr1,1160,PrMod3,TSys54,AB-1CD-4,01.12.2023,08:24:33,OK,OK,00:01:40,00:01:40,-0.0
MatNr2,1161,PrMod4,TSys54,AB-1CD-4,01.12.2023,08:47:47,Angel_to_low,Tolerance_violence,00:01:55,00:01:55,0.0
MatNr2,1162,PrMod2,TSys54,AB-1CD-3,01.12.2023,09:09:20,angel_to_wide,Tolerance_violence,00:01:57,00:01:57,0.0
MatNr2,1163,PrMod2,TSys32,AB-1CD-5,01.12.2023,09:32:18,OK,OK,00:02:31,00:02:31,0.0
MatNr2,1164,PrMod2,TSys32,AB-2CD-9,01.12.2023,09:58:14,OK,OK,00:01:41,00:01:41,0.0
MatNr3,1165,PrMod1,TSys54,AB-2CD-9,01.12.2023,10:20:33,OK,OK,00:02:13,00:02:13,0.0
MatNr1,1166,PrMod1,TSys32,AB-2CD-8,01.12.2023,10:44:14,System_issue,System_error,00:01:40,00:01:40,0.0
MatNr1,1167,PrMod1,TSys27,AB-1CD-5,01.12.2023,11:06:16,OK,OK,00:01:56,00:01:56,0.0
MatNr2,1168,PrMod4,TSys54,AB-3CD-3,01.12.2023,11:27:04,System_issue,System_error,00:02:18,00:02:18,0.0
MatNr3,1169,PrMod4,TSys27,AB-3CD-8,01.12.2023,11:52:53,OK,OK,00:02:06,00:02:06,0.0
MatNr3,1170,PrMod4,TSys54,AB-3CD-4,01.12.2023,12:16:55,angel_to_wide,Tolerance_violence,00:02:26,00:02:26,0.0
MatNr1,1171,PrMod4,TSys54,AB-1CD-0,01.12.2023,12:42:06,OK,OK,00:02:00,00:02:00,-0.0
MatNr2,1172,PrMod3,TSys54,AB-3CD-5,01.12.2023,13:04:55,OK,OK,00:02:03,00:02:03,0.0
MatNr2,1173,PrMod4,TSys27,AB-1CD-6,01.12.2023,13:27:29,OK,OK,00:01:23,00:01:23,0.0
MatNr2,1174,PrMod4,TSys27,AB-2CD-5,01.12.2023,13:48:41,Angel_to_low,Tolerance_violence,00:01:58,00:01:58,0.0
MatNr3,1175,PrMod4,TSys27,AB-3CD-6,01.12.2023,14:11:57,OK,OK,00:02:23,00:02:23,0.0
MatNr1,1176,PrMod3,TSys32,AB-3CD-1,01.12.2023,14:35:31,angel_to_wide,Tolerance_violence,00:01:52,00:01:52,0.0
MatNr1,1177,PrMod4,TSys54,AB-2CD-9,01.12.2023,14:55:19,OK,OK,00:01:42,00:01:42,0.0
MatNr2,1178,PrMod3,TSys32,AB-3CD-0,01.12.2023,15:15:48,angel_to_wide,Tolerance_violence,00:01:42,00:01:42,0.0
MatNr1,1179,PrMod3,TSys27,AB-1CD-4,01.12.2023,15:40:05,OK,OK,00:01:40,00:01:40,0.0
MatNr1,1180,PrMod2,TSys54,AB-1CD-5,01.12.2023,16:04:44,OK,OK,00:02:31,00:02:31,0.0
MatNr2,1181,PrMod1,TSys27,AB-2CD-6,01.12.2023,16:27:30,OK,OK,00:02:01,00:02:01,0.0
MatNr3,1182,PrMod1,TSys32,AB-3CD-9,01.12.2023,16:48:05,OK,OK,00:01:32,00:01:32,0.0
MatNr1,1183,PrMod1,TSys32,AB-3CD-8,01.12.2023,17:07:56,OK,OK,00:02:09,00:02:09,0.0
MatNr3,1184,PrMod1,TSys54,AB-2CD-9,01.12.2023,17:32:21,OK,OK,00:02:10,00:02:10,-0.0
MatNr2,1185,PrMod2,TSys54,AB-3CD-2,01.12.2023,17:54:52,angel_to_wide,Tolerance_violence,00:01:37,00:01:37,0.0
MatNr3,1186,PrMod4,TSys54,AB-3CD-5,01.12.2023,18:16:14,OK,OK,00:01:37,00:01:37,0.0
MatNr3,1187,PrMod2,TSys27,AB-3CD-1,01.12.2023,18:36:36,OK,OK,00:01:42,00:01:42,0.0
MatNr1,1188,PrMod4,TSys27,AB-3CD-2,01.12.2023,18:56:39,OK,OK,00:01:38,00:01:38,0.0
MatNr1,1189,PrMod4,TSys54,AB-2CD-5,01.12.2023,19:19:35,angel_to_wide,Tolerance_violence,00:01:53,00:01:53,0.0
MatNr2,1190,PrMod3,TSys27,AB-1CD-1,01.12.2023,19:41:04,OK,OK,00:02:01,00:02:01,0.0
MatNr2,1191,PrMod1,TSys54,AB-2CD-9,01.12.2023,20:02:31,angel_to_wide,Tolerance_violence,00:02:49,00:02:49,0.0
MatNr1,1192,PrMod3,TSys27,AB-2CD-7,01.12.2023,20:26:07,System_issue,System_error,00:02:11,00:02:11,0.0
MatNr1,1192,PrMod3,TSys27,AB-2CD-7,01.12.2023,20:32:42,System_issue,System_error,00:01:46,00:01:46,0.0
MatNr2,1193,PrMod3,TSys54,AB-1CD-9,01.12.2023,20:54:30,OK,OK,00:02:24,00:02:24,0.0
MatNr1,1194,PrMod2,TSys32,AB-3CD-8,01.12.2023,21:20:04,OK,OK,00:01:19,00:01:19,0.0
MatNr1,1195,PrMod1,TSys54,AB-1CD-1,01.12.2023,21:40:56,OK,OK,00:01:55,00:01:55,0.0
MatNr2,1196,PrMod2,TSys54,AB-3CD-6,01.12.2023,22:04:21,OK,OK,00:02:05,00:02:05,0.0
MatNr1,1197,PrMod4,TSys54,AB-3CD-4,01.12.2023,22:28:47,OK,OK,00:02:19,00:02:19,0.0
MatNr1,1198,PrMod4,TSys32,AB-1CD-8,01.12.2023,22:52:13,OK,OK,00:02:19,00:02:19,0.0
MatNr3,1199,PrMod1,TSys54,AB-2CD-1,01.12.2023,23:23:24,Angel_to_low,Tolerance_violence,00:01:39,00:01:39,0.0
MatNr3,1200,PrMod4,TSys32,AB-3CD-8,01.12.2023,23:46:02,OK,OK,00:02:07,00:02:07,0.0
MatNr2,1201,PrMod1,TSys32,AB-2CD-1,02.12.2023,00:10:36,OK,OK,00:01:46,00:01:46,0.0
MatNr3,1202,PrMod3,TSys32,AB-3CD-5,02.12.2023,00:31:48,OK,OK,00:01:42,00:01:42,0.0
MatNr1,1203,PrMod4,TSys27,AB-3CD-2,02.12.2023,00:55:58,OK,OK,00:01:43,00:01:43,0.0
MatNr3,1204,PrMod3,TSys54,AB-1CD-5,02.12.2023,01:16:26,System_issue,System_error,00:02:11,00:02:11,0.0
MatNr1,1205,PrMod3,TSys54,AB-1CD-7,02.12.2023,01:38:08,OK,OK,00:02:12,00:02:12,0.0
MatNr1,1206,PrMod4,TSys32,AB-3CD-0,02.12.2023,02:00:43,OK,OK,00:01:41,00:01:41,0.0
MatNr2,1207,PrMod4,TSys54,AB-3CD-9,02.12.2023,02:24:54,OK,OK,00:02:08,00:02:08,0.0
