MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_21,col_22,col_23
MatNr1,1021,PrMod4,TSys32,AB-2CD-1,29.11.2023,00:41:41,OK,OK,00:02:03,00:02:03,43.0,7.599999999999998,-2.56
MatNr1,1022,PrMod2,TSys32,AB-2CD-7,29.11.2023,01:06:42,OK,OK,00:02:00,00:02:00,42.0,15.0,2.0
MatNr2,1023,PrMod1,TSys32,AB-3CD-9,29.11.2023,01:30:36,OK,OK,00:01:48,00:01:48,43.0,17.59999999999999,0.0
MatNr3,1024,PrMod3,TSys54,AB-3CD-0,29.11.2023,01:55:14,OK,OK,00:01:57,00:01:57,40.0,16.299999999999997,1.0
MatNr1,1025,PrMod2,TSys27,AB-1CD-3,29.11.2023,02:18:25,OK,OK,00:02:16,00:02:16,56.0,18.599999999999987,1.0
MatNr1,1026,PrMod3,TSys54,AB-2CD-9,29.11.2023,02:40:55,OK,OK,00:02:09,00:02:09,56.0,15.2,1.0
MatNr2,1027,PrMod4,TSys54,AB-3CD-2,29.11.2023,03:05:52,OK,OK,00:02:07,00:02:07,58.0,7.399999999999999,2.0
MatNr2,1028,PrMod3,TSys54,AB-1CD-8,29.11.2023,03:30:08,OK,OK,00:01:17,00:01:17,46.0,7.699999999999997,0.0
MatNr3,1029,PrMod1,TSys27,AB-1CD-4,29.11.2023,03:51:28,OK,OK,00:01:51,00:01:51,41.0,7.899999999999997,1.6
MatNr3,1030,PrMod3,TSys27,AB-3CD-2,29.11.2023,04:14:16,OK,OK,00:01:50,00:01:50,46.0,16.199999999999996,0.0
MatNr2,1031,PrMod4,TSys32,AB-1CD-0,29.11.2023,04:38:44,OK,OK,00:01:43,00:01:43,46.0,19.399999999999984,1.0
MatNr3,1032,PrMod3,TSys32,AB-3CD-1,29.11.2023,04:58:28,OK,OK,00:02:36,00:02:36,54.0,8.899999999999993,2.0
MatNr3,1033,PrMod3,TSys27,AB-1CD-5,29.11.2023,05:27:59,OK,OK,00:01:40,00:01:40,59.0,8.399999999999995,0.0
MatNr2,1034,PrMod4,TSys32,AB-2CD-6,29.11.2023,05:51:29,OK,OK,00:01:49,00:01:49,44.0,7.299999999999999,1.0
MatNr3,1035,PrMod4,TSys54,AB-1CD-9,29.11.2023,06:12:13,OK,OK,00:01:52,00:01:52,48.0,18.29999999999999,2.0
MatNr3,1036,PrMod3,TSys54,AB-1CD-9,29.11.2023,06:34:38,OK,OK,00:01:37,00:01:37,52.0,15.499999999999998,2.0
MatNr3,1037,PrMod1,TSys27,AB-2CD-3,29.11.2023,06:59:51,OK,OK,00:02:03,00:02:03,51.0,19.299999999999983,4.29
MatNr2,1038,PrMod1,TSys27,AB-3CD-5,29.11.2023,07:25:40,OK,OK,00:02:16,00:02:16,49.0,8.199999999999996,0.0
MatNr1,1039,PrMod1,TSys32,AB-2CD-2,29.11.2023,07:49:58,OK,OK,00:01:48,00:01:48,47.0,19.399999999999984,1.0
MatNr3,1040,PrMod2,TSys54,AB-1CD-6,29.11.2023,08:13:50,OK,OK,00:02:01,00:02:01,40.0,18.29999999999999,1.0
MatNr1,1041,PrMod4,TSys54,AB-1CD-7,29.11.2023,08:38:06,OK,OK,00:01:57,00:01:57,53.0,9.69999999999999,0.0
MatNr1,1042,PrMod1,TSys27,AB-2CD-1,29.11.2023,09:04:14,OK,OK,00:02:19,00:02:19,68.0,8.499999999999995,2.0
MatNr1,1043,PrMod1,TSys54,AB-2CD-5,29.11.2023,09:31:48,OK,OK,00:01:54,00:01:54,60.0,7.499999999999998,0.0
MatNr3,1044,PrMod4,TSys54,AB-3CD-8,29.11.2023,09:53:43,OK,OK,00:01:48,00:01:48,49.0,7.899999999999997,1.0
MatNr2,1045,PrMod3,TSys54,AB-1CD-5,29.11.2023,10:13:37,OK,OK,00:02:04,00:02:04,64.0,9.59999999999999,2.0
MatNr1,1046,PrMod4,TSys32,AB-1CD-5,29.11.2023,10:38:11,OK,OK,00:02:05,00:02:05,56.0,15.999999999999996,0.0
MatNr2,1047,PrMod3,TSys27,AB-1CD-2,29.11.2023,11:02:21,OK,OK,00:02:11,00:02:11,56.0,16.099999999999994,2.0
MatNr3,1048,PrMod2,TSys54,AB-1CD-3,29.11.2023,11:28:18,OK,OK,00:02:10,00:02:10,55.0,7.399999999999999,2.0
MatNr3,1049,PrMod4,TSys32,AB-3CD-5,29.11.2023,11:52:21,OK,OK,00:02:06,00:02:06,53.0,15.999999999999996,2.0
MatNr3,1050,PrMod2,TSys27,AB-3CD-9,29.11.2023,12:17:07,OK,OK,00:02:20,00:02:20,46.0,18.69999999999999,2.0
MatNr2,1051,PrMod1,TSys54,AB-1CD-2,29.11.2023,12:42:39,OK,OK,00:01:58,00:01:58,69.0,7.899999999999997,2.0
MatNr3,1052,PrMod2,TSys54,AB-3CD-5,29.11.2023,13:05:23,OK,OK,00:01:41,00:01:41,43.0,18.499999999999982,2.0
MatNr3,1053,PrMod4,TSys32,AB-3CD-7,29.11.2023,13:31:06,OK,OK,00:01:56,00:01:56,49.0,18.29999999999999,0.0
MatNr3,1053,PrMod4,TSys32,AB-3CD-7,29.11.2023,13:36:47,OK,OK,00:02:07,00:02:07,-31.93,18.29999999999999,0.0
MatNr1,1054,PrMod3,TSys54,AB-2CD-8,29.11.2023,14:00:09,OK,OK,00:01:50,00:01:50,40.0,8.199999999999996,1.0
MatNr3,1055,PrMod3,TSys32,AB-2CD-7,29.11.2023,14:20:12,OK,OK,00:02:00,00:02:00,6.91,8.799999999999994,2.0
MatNr1,1056,PrMod2,TSys32,AB-2CD-3,29.11.2023,14:44:42,OK,OK,00:02:29,00:02:29,61.0,9.89999999999999,2.0
MatNr3,1057,PrMod4,TSys27,AB-3CD-6,29.11.2023,15:10:26,OK,OK,00:02:08,00:02:08,68.0,8.799999999999994,0.0
MatNr3,1058,PrMod3,TSys54,AB-1CD-1,29.11.2023,15:33:00,OK,OK,00:02:40,00:02:40,46.0,7.599999999999998,1.0
MatNr3,1059,PrMod1,TSys54,AB-2CD-1,29.11.2023,15:57:17,OK,OK,00:01:38,00:01:38,54.0,8.199999999999996,1.0
MatNr1,1060,PrMod1,TSys32,AB-1CD-0,29.11.2023,16:22:02,OK,OK,00:01:25,00:01:25,55.0,18.69999999999999,0.0
MatNr2,1061,PrMod1,TSys54,AB-3CD-8,29.11.2023,16:44:24,OK,OK,00:02:20,00:02:20,56.0,8.199999999999996,0.0
MatNr2,1062,PrMod2,TSys27,AB-2CD-0,29.11.2023,17:06:18,OK,OK,00:02:14,00:02:14,57.0,9.79999999999999,1.0
MatNr2,1062,PrMod2,TSys27,AB-2CD-0,29.11.2023,17:12:02,OK,OK,00:01:47,00:01:47,57.0,9.79999999999999,1.0
MatNr3,1063,PrMod3,TSys54,AB-1CD-1,29.11.2023,17:32:43,OK,OK,00:02:25,00:02:25,44.0,8.899999999999993,0.0
MatNr2,1064,PrMod4,TSys32,AB-1CD-6,29.11.2023,17:55:38,OK,OK,00:02:15,00:02:15,42.0,9.299999999999992,0.0
MatNr2,1065,PrMod1,TSys27,AB-3CD-9,29.11.2023,18:22:29,angel_to_wide,Tolerance_violence,00:01:55,00:01:55,69.0,17.499999999999993,-2.11
MatNr1,1066,PrMod3,TSys27,AB-1CD-8,29.11.2023,18:46:38,OK,OK,00:01:22,00:01:22,62.0,15.0,1.0
MatNr1,1067,PrMod4,TSys27,AB-3CD-3,29.11.2023,19:07:33,OK,OK,00:02:29,00:02:29,66.0,7.499999999999998,2.95
MatNr2,1068,PrMod3,TSys27,AB-3CD-0,29.11.2023,19:32:20,OK,OK,00:02:17,00:02:17,63.0,7.1,0.0
MatNr2,1069,PrMod1,TSys27,AB-1CD-5,29.11.2023,19:56:31,OK,OK,00:02:19,00:02:19,69.0,17.89999999999999,2.0
MatNr3,1070,PrMod3,TSys54,AB-2CD-2,29.11.2023,20:19:56,OK,OK,00:02:03,00:02:03,43.0,17.29999999999999,1.0
MatNr2,1071,PrMod1,TSys27,AB-3CD-4,29.11.2023,20:45:52,OK,OK,00:02:48,00:02:48,52.0,16.599999999999994,1.0
MatNr3,1072,PrMod1,TSys54,AB-2CD-0,29.11.2023,21:08:46,OK,OK,00:01:38,00:01:38,63.0,18.999999999999982,0.0
MatNr1,1073,PrMod1,TSys27,AB-1CD-3,29.11.2023,21:32:05,OK,OK,00:01:36,00:01:36,59.0,17.79999999999999,1.0
MatNr1,1074,PrMod4,TSys54,AB-2CD-2,29.11.2023,21:53:53,OK,OK,00:01:26,00:01:26,56.0,19.399999999999984,1.0
MatNr1,1075,PrMod3,TSys54,AB-2CD-0,29.11.2023,22:17:34,OK,OK,00:01:56,00:01:56,59.0,17.89999999999999,1.0
MatNr3,1076,PrMod4,TSys27,AB-1CD-4,29.11.2023,22:43:20,OK,OK,00:02:15,00:02:15,41.0,7.799999999999997,2.0
MatNr2,1077,PrMod1,TSys54,AB-1CD-4,29.11.2023,23:08:09,OK,OK,00:01:52,00:01:52,57.0,18.099999999999987,1.0
MatNr1,1078,PrMod2,TSys32,AB-1CD-6,29.11.2023,23:30:34,OK,OK,00:01:02,00:01:02,53.0,18.19999999999999,1.0
MatNr1,1079,PrMod4,TSys27,AB-1CD-4,29.11.2023,23:54:34,OK,OK,00:01:40,00:01:40,51.0,7.199999999999999,2.0
MatNr3,1080,PrMod2,TSys32,AB-2CD-9,30.11.2023,00:16:54,OK,OK,00:01:51,00:01:51,53.0,12.46,1.0
MatNr1,1081,PrMod4,TSys27,AB-3CD-3,30.11.2023,00:41:37,OK,OK,00:02:13,00:02:13,65.0,8.899999999999993,1.0
MatNr1,1082,PrMod4,TSys27,AB-3CD-7,30.11.2023,01:07:29,angel_to_wide,Tolerance_violence,00:01:20,00:01:20,58.0,17.69999999999999,1.0
MatNr1,1083,PrMod3,TSys27,AB-1CD-8,30.11.2023,01:26:29,OK,OK,00:02:12,00:02:12,43.0,15.2,0.0
MatNr3,1084,PrMod1,TSys32,AB-3CD-0,30.11.2023,01:47:50,OK,OK,00:01:23,00:01:23,50.0,18.999999999999982,2.0
MatNr3,1084,PrMod1,TSys32,AB-3CD-0,30.11.2023,01:51:50,OK,OK,00:02:08,00:02:08,50.0,18.999999999999982,2.0
MatNr1,1085,PrMod1,TSys32,AB-1CD-1,30.11.2023,02:15:42,OK,OK,00:02:12,00:02:12,52.0,18.999999999999982,1.0
MatNr2,1086,PrMod1,TSys27,AB-2CD-3,30.11.2023,02:37:21,OK,OK,00:02:02,00:02:02,43.0,9.79999999999999,0.0
MatNr3,1087,PrMod3,TSys54,AB-2CD-7,30.11.2023,03:00:55,OK,OK,00:02:08,00:02:08,67.0,7.399999999999999,2.0
MatNr2,1088,PrMod1,TSys32,AB-3CD-3,30.11.2023,03:23:20,OK,OK,00:01:53,00:01:53,44.0,9.099999999999993,2.0
MatNr1,1089,PrMod4,TSys27,AB-3CD-4,30.11.2023,03:45:33,OK,OK,00:01:44,00:01:44,44.0,8.399999999999995,2.0
MatNr3,1090,PrMod4,TSys32,AB-1CD-0,30.11.2023,04:12:24,OK,OK,00:01:47,00:01:47,68.0,9.79999999999999,0.0
MatNr1,1091,PrMod1,TSys32,AB-3CD-5,30.11.2023,04:34:30,OK,OK,00:02:39,00:02:39,45.0,7.899999999999997,2.0
MatNr2,1092,PrMod2,TSys54,AB-1CD-7,30.11.2023,04:59:24,OK,OK,00:02:31,00:02:31,48.0,9.89999999999999,0.0
MatNr2,1093,PrMod4,TSys54,AB-2CD-0,30.11.2023,05:25:47,OK,OK,00:01:21,00:01:21,52.0,15.599999999999998,2.0
MatNr2,1094,PrMod4,TSys54,AB-1CD-0,30.11.2023,05:47:34,OK,OK,00:01:57,00:01:57,52.0,19.799999999999983,2.0
MatNr3,1095,PrMod2,TSys27,AB-2CD-9,30.11.2023,06:08:32,OK,OK,00:01:46,00:01:46,42.0,17.199999999999992,2.0
MatNr1,1096,PrMod2,TSys27,AB-2CD-2,30.11.2023,06:33:39,OK,OK,00:02:06,00:02:06,42.0,16.399999999999995,0.0
MatNr1,1097,PrMod2,TSys32,AB-1CD-2,30.11.2023,06:56:01,OK,OK,00:02:01,00:02:01,61.0,16.999999999999993,0.0
MatNr3,1098,PrMod4,TSys54,AB-1CD-4,30.11.2023,07:15:37,OK,OK,00:01:59,00:01:59,64.0,18.999999999999982,1.0
MatNr2,1099,PrMod3,TSys27,AB-1CD-5,30.11.2023,07:38:41,OK,OK,00:01:42,00:01:42,40.0,16.799999999999994,0.12
MatNr2,1100,PrMod3,TSys27,AB-3CD-3,30.11.2023,08:00:36,OK,OK,00:02:08,00:02:08,40.0,16.89999999999999,2.0
MatNr2,1101,PrMod1,TSys27,AB-1CD-3,30.11.2023,08:26:49,OK,OK,00:01:30,00:01:30,48.0,18.19999999999999,2.0
MatNr1,1102,PrMod2,TSys27,AB-3CD-0,30.11.2023,08:52:20,OK,OK,00:01:50,00:01:50,69.0,7.399999999999999,2.37
MatNr2,1103,PrMod2,TSys27,AB-3CD-5,30.11.2023,09:17:13,OK,OK,00:01:55,00:01:55,47.0,16.199999999999996,0.0
MatNr1,1104,PrMod4,TSys27,AB-1CD-8,30.11.2023,09:38:13,OK,OK,00:02:04,00:02:04,58.0,7.1,2.0
MatNr3,1105,PrMod2,TSys32,AB-3CD-9,30.11.2023,10:05:06,OK,OK,00:02:12,00:02:12,-32.84,8.199999999999996,2.0
MatNr3,1106,PrMod3,TSys32,AB-2CD-8,30.11.2023,10:28:03,OK,OK,00:01:21,00:01:21,58.0,8.799999999999994,2.0
MatNr2,1107,PrMod4,TSys54,AB-3CD-1,30.11.2023,10:52:12,OK,OK,00:02:29,00:02:29,55.0,9.099999999999993,5.29
MatNr3,1108,PrMod1,TSys54,AB-3CD-6,30.11.2023,11:16:43,OK,OK,00:01:54,00:01:54,64.0,7.0,1.0
MatNr3,1109,PrMod4,TSys54,AB-1CD-8,30.11.2023,11:37:49,OK,OK,00:02:04,00:02:04,62.0,16.399999999999995,2.0
MatNr3,1110,PrMod2,TSys32,AB-1CD-7,30.11.2023,12:01:09,OK,OK,00:02:07,00:02:07,67.0,7.499999999999998,0.0
MatNr3,1111,PrMod2,TSys27,AB-2CD-9,30.11.2023,12:27:06,OK,OK,00:02:35,00:02:35,64.0,8.799999999999994,1.0
MatNr1,1112,PrMod4,TSys27,AB-2CD-9,30.11.2023,12:49:55,OK,OK,00:02:24,00:02:24,62.0,9.69999999999999,2.0
MatNr1,1112,PrMod4,TSys27,AB-2CD-9,30.11.2023,12:56:07,OK,OK,00:02:05,00:02:05,62.0,9.69999999999999,2.0
MatNr1,1113,PrMod4,TSys54,AB-2CD-4,30.11.2023,13:19:35,OK,OK,00:01:29,00:01:29,48.0,9.89999999999999,1.0
MatNr3,1114,PrMod3,TSys32,AB-1CD-0,30.11.2023,13:42:52,OK,OK,00:01:23,00:01:23,45.0,9.499999999999991,2.0
MatNr1,1115,PrMod1,TSys54,AB-2CD-5,30.11.2023,14:06:31,OK,OK,00:02:10,00:02:10,67.0,16.199999999999996,2.0
MatNr2,1116,PrMod3,TSys54,AB-3CD-8,30.11.2023,14:34:17,OK,OK,00:01:49,00:01:49,46.0,15.499999999999998,0.0
MatNr2,1117,PrMod4,TSys32,AB-2CD-8,30.11.2023,15:02:50,OK,OK,00:01:30,00:01:30,64.0,19.499999999999982,0.0
MatNr3,1118,PrMod4,TSys27,AB-2CD-8,30.11.2023,15:23:31,OK,OK,00:01:47,00:01:47,42.0,17.59999999999999,0.0
MatNr3,1118,PrMod4,TSys27,AB-2CD-8,30.11.2023,15:26:42,OK,OK,00:01:32,00:01:32,42.0,17.59999999999999,0.0
MatNr3,1118,PrMod4,TSys27,AB-2CD-8,30.11.2023,15:31:13,OK,OK,00:02:15,00:02:15,42.0,-1.15,0.0
MatNr2,1119,PrMod4,TSys32,AB-3CD-5,30.11.2023,15:54:21,OK,OK,00:01:24,00:01:24,56.0,8.499999999999995,1.0
MatNr3,1120,PrMod4,TSys54,AB-1CD-9,30.11.2023,16:19:46,OK,OK,00:01:43,00:01:43,52.0,9.499999999999991,1.0
MatNr2,1121,PrMod3,TSys32,AB-2CD-0,30.11.2023,16:44:25,OK,OK,00:02:05,00:02:05,57.0,7.899999999999997,0.0
MatNr3,1122,PrMod3,TSys27,AB-3CD-8,30.11.2023,17:08:27,OK,OK,00:01:17,00:01:17,52.0,8.499999999999995,0.0
MatNr2,1123,PrMod2,TSys32,AB-1CD-6,30.11.2023,17:30:33,OK,OK,00:02:23,00:02:23,42.0,17.199999999999992,0.0
MatNr1,1124,PrMod3,TSys32,AB-3CD-7,30.11.2023,17:51:58,OK,OK,00:01:26,00:01:26,46.0,9.199999999999992,2.0
MatNr1,1125,PrMod2,TSys54,AB-3CD-2,30.11.2023,18:15:06,OK,OK,00:02:36,00:02:36,43.0,18.29999999999999,0.0
MatNr2,1126,PrMod4,TSys27,AB-2CD-7,30.11.2023,18:40:16,OK,OK,00:02:54,00:02:54,40.0,52.29,2.0
MatNr3,1127,PrMod4,TSys32,AB-1CD-5,30.11.2023,19:03:46,OK,OK,00:02:03,00:02:03,57.0,9.59999999999999,0.0
MatNr2,1128,PrMod3,TSys27,AB-3CD-0,30.11.2023,19:28:34,OK,OK,00:01:47,00:01:47,49.0,8.499999999999995,2.0
MatNr2,1129,PrMod1,TSys27,AB-3CD-3,30.11.2023,19:50:19,OK,OK,00:02:34,00:02:34,52.0,18.799999999999983,1.0
MatNr2,1130,PrMod2,TSys27,AB-1CD-4,30.11.2023,20:13:48,OK,OK,00:02:41,00:02:41,54.0,9.499999999999991,0.0
MatNr2,1131,PrMod4,TSys32,AB-2CD-5,30.11.2023,20:37:27,OK,OK,00:01:34,00:01:34,45.0,18.19999999999999,2.0
MatNr1,1132,PrMod2,TSys32,AB-1CD-5,30.11.2023,21:03:11,OK,OK,00:01:44,00:01:44,56.0,15.499999999999998,1.0
MatNr1,1133,PrMod1,TSys27,AB-1CD-1,30.11.2023,21:28:46,System_issue,System_error,00:01:54,00:01:54,45.0,8.299999999999995,2.0
MatNr2,1134,PrMod1,TSys27,AB-2CD-3,30.11.2023,21:51:00,OK,OK,00:01:51,00:01:51,67.0,7.9999999999999964,1.0
MatNr3,1135,PrMod3,TSys54,AB-1CD-2,30.11.2023,22:15:12,OK,OK,00:01:48,00:01:48,60.0,17.99999999999999,1.0
MatNr2,1136,PrMod1,TSys32,AB-3CD-4,30.11.2023,22:39:10,OK,OK,00:01:54,00:01:54,43.0,16.999999999999993,0.0
MatNr3,1137,PrMod1,TSys54,AB-3CD-5,30.11.2023,23:02:49,OK,OK,00:02:24,00:02:24,191.68,7.399999999999999,0.0
MatNr3,1138,PrMod4,TSys27,AB-2CD-2,30.11.2023,23:28:27,OK,OK,00:01:52,00:01:52,61.0,18.29999999999999,2.0
MatNr3,1138,PrMod4,TSys27,AB-2CD-2,30.11.2023,23:32:01,OK,OK,00:02:09,00:02:09,61.0,18.29999999999999,2.0
MatNr1,1139,PrMod4,TSys27,AB-3CD-4,30.11.2023,23:56:22,OK,OK,00:01:38,00:01:38,53.0,7.299999999999999,2.0
MatNr1,1140,PrMod3,TSys54,AB-3CD-3,01.12.2023,00:19:53,angel_to_wide,Tolerance_violence,00:01:50,00:01:50,69.0,17.29999999999999,2.0
MatNr3,1141,PrMod3,TSys32,AB-3CD-6,01.12.2023,00:44:55,OK,OK,00:02:27,00:02:27,61.0,17.69999999999999,2.0
MatNr3,1142,PrMod4,TSys27,AB-2CD-5,01.12.2023,01:05:47,OK,OK,00:01:51,00:01:51,-15.35,7.199999999999999,1.0
MatNr3,1143,PrMod3,TSys27,AB-2CD-1,01.12.2023,01:28:47,OK,OK,00:01:42,00:01:42,41.0,7.499999999999998,2.0
MatNr1,1144,PrMod4,TSys27,AB-3CD-4,01.12.2023,01:52:19,OK,OK,00:01:38,00:01:38,44.0,8.299999999999995,0.0
MatNr3,1145,PrMod4,TSys27,AB-2CD-9,01.12.2023,02:19:50,OK,OK,00:02:17,00:02:17,47.0,8.199999999999996,2.0
MatNr1,1146,PrMod4,TSys27,AB-2CD-3,01.12.2023,02:43:36,OK,OK,00:02:08,00:02:08,64.0,15.2,0.0
MatNr2,1147,PrMod2,TSys27,AB-3CD-2,01.12.2023,03:10:01,OK,OK,00:01:49,00:01:49,44.0,8.399999999999995,1.0
MatNr2,1148,PrMod1,TSys32,AB-3CD-8,01.12.2023,03:32:47,OK,OK,00:01:49,00:01:49,62.0,19.899999999999984,2.0
MatNr3,1149,PrMod4,TSys54,AB-1CD-1,01.12.2023,03:56:28,OK,OK,00:02:34,00:02:34,47.0,18.499999999999982,0.0
MatNr2,1150,PrMod4,TSys54,AB-3CD-2,01.12.2023,04:19:14,OK,OK,00:01:38,00:01:38,59.0,7.799999999999997,2.0
MatNr3,1151,PrMod2,TSys32,AB-2CD-1,01.12.2023,04:46:17,OK,OK,00:02:08,00:02:08,57.0,9.79999999999999,0.0
MatNr2,1152,PrMod2,TSys32,AB-1CD-8,01.12.2023,05:11:52,OK,OK,00:02:15,00:02:15,42.0,16.699999999999996,2.0
MatNr1,1153,PrMod2,TSys27,AB-2CD-8,01.12.2023,05:33:36,OK,OK,00:02:51,00:02:51,65.0,18.099999999999987,2.0
MatNr2,1154,PrMod3,TSys27,AB-2CD-1,01.12.2023,05:59:25,OK,OK,00:02:04,00:02:04,50.0,7.899999999999997,2.0
MatNr3,1155,PrMod2,TSys27,AB-1CD-5,01.12.2023,06:23:48,OK,OK,00:01:55,00:01:55,59.0,8.199999999999996,0.0
MatNr2,1156,PrMod3,TSys32,AB-3CD-7,01.12.2023,06:47:28,OK,OK,00:01:17,00:01:17,64.0,8.799999999999994,2.0
MatNr2,1157,PrMod2,TSys27,AB-2CD-0,01.12.2023,07:10:34,OK,OK,00:01:51,00:01:51,68.0,7.699999999999997,1.0
MatNr1,1158,PrMod2,TSys27,AB-2CD-1,01.12.2023,07:33:04,OK,OK,00:01:59,00:01:59,54.0,8.299999999999995,2.0
MatNr1,1159,PrMod2,TSys32,AB-3CD-6,01.12.2023,07:55:56,OK,OK,00:02:02,00:02:02,69.0,15.0,1.0
MatNr1,1160,PrMod1,TSys32,AB-3CD-7,01.12.2023,08:19:47,OK,OK,00:01:56,00:01:56,65.0,17.39999999999999,1.0
MatNr2,1161,PrMod3,TSys27,AB-3CD-8,01.12.2023,08:44:08,OK,OK,00:01:34,00:01:34,43.0,17.39999999999999,1.0
MatNr2,1162,PrMod3,TSys32,AB-3CD-0,01.12.2023,09:04:04,OK,OK,00:01:40,00:01:40,59.0,37.81,0.0
MatNr2,1163,PrMod2,TSys32,AB-2CD-6,01.12.2023,09:27:12,OK,OK,00:01:43,00:01:43,62.0,18.499999999999982,1.0
MatNr2,1164,PrMod1,TSys27,AB-2CD-4,01.12.2023,09:53:27,OK,OK,00:01:47,00:01:47,46.0,18.999999999999982,1.0
MatNr3,1165,PrMod1,TSys54,AB-2CD-5,01.12.2023,10:14:48,OK,OK,00:02:38,00:02:38,50.0,15.799999999999995,2.0
MatNr1,1166,PrMod2,TSys32,AB-1CD-9,01.12.2023,10:39:00,OK,OK,00:02:20,00:02:20,61.0,19.69999999999998,1.0
MatNr1,1167,PrMod4,TSys27,AB-1CD-1,01.12.2023,11:01:25,OK,OK,00:01:50,00:01:50,67.0,15.499999999999998,0.0
MatNr2,1168,PrMod4,TSys27,AB-3CD-6,01.12.2023,11:22:15,OK,OK,00:02:03,00:02:03,64.0,17.199999999999992,1.0
MatNr3,1169,PrMod2,TSys27,AB-2CD-0,01.12.2023,11:46:11,OK,OK,00:02:03,00:02:03,69.0,9.89999999999999,2.0
MatNr3,1170,PrMod1,TSys27,AB-2CD-6,01.12.2023,12:11:10,OK,OK,00:02:10,00:02:10,61.0,17.39999999999999,0.0
MatNr1,1171,PrMod1,TSys32,AB-2CD-7,01.12.2023,12:36:27,OK,OK,00:01:59,00:01:59,43.0,9.099999999999993,0.0
MatNr2,1172,PrMod3,TSys27,AB-2CD-3,01.12.2023,12:59:34,OK,OK,00:02:27,00:02:27,68.0,8.999999999999993,1.0
MatNr2,1173,PrMod4,TSys54,AB-3CD-1,01.12.2023,13:23:06,OK,OK,00:02:25,00:02:25,64.0,19.399999999999984,2.0
MatNr2,1174,PrMod4,TSys32,AB-1CD-7,01.12.2023,13:44:32,OK,OK,00:01:47,00:01:47,57.0,7.199999999999999,1.0
