MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1
MatNr2,1053,PrMod4,TSys32,AB-3CD-1,01.09.2024,17:53:10,OK,OK,00:02:42,00:02:42
MatNr2,1054,PrMod4,TSys27,AB-1CD-0,01.09.2024,18:18:18,OK,OK,00:01:50,00:01:50
MatNr2,1055,PrMod3,TSys27,AB-2CD-3,01.09.2024,18:44:52,OK,OK,00:02:09,00:02:09
MatNr3,1056,PrMod1,TSys54,AB-2CD-0,01.09.2024,19:06:39,OK,OK,00:01:52,00:01:52
MatNr3,1057,PrMod4,TSys54,AB-3CD-4,01.09.2024,19:27:10,OK,OK,00:02:07,00:02:07
MatNr3,1058,PrMod1,TSys54,AB-3CD-0,01.09.2024,19:50:45,OK,OK,00:02:05,00:02:05
MatNr3,1059,PrMod3,TSys54,AB-2CD-6,01.09.2024,20:12:33,OK,OK,00:01:20,00:01:20
MatNr2,1060,PrMod2,TSys54,AB-1CD-3,01.09.2024,20:35:27,OK,OK,00:02:01,00:02:01
MatNr1,1061,PrMod4,TSys27,AB-2CD-5,01.09.2024,20:56:10,OK,OK,00:01:46,00:01:46
MatNr3,1062,PrMod3,TSys32,AB-2CD-4,01.09.2024,21:17:37,OK,OK,00:02:20,00:02:20
MatNr3,1063,PrMod3,TSys27,AB-1CD-0,01.09.2024,21:48:22,System_issue,System_error,00:01:54,00:01:54
MatNr3,1064,PrMod3,TSys32,AB-2CD-5,01.09.2024,22:10:46,OK,OK,00:01:41,00:01:41
MatNr2,1065,PrMod2,TSys54,AB-3CD-0,01.09.2024,22:34:16,OK,OK,00:01:36,00:01:36
MatNr2,1066,PrMod1,TSys32,AB-3CD-8,01.09.2024,22:57:35,System_issue,System_error,00:02:19,00:02:19
MatNr3,1067,PrMod4,TSys32,AB-1CD-4,01.09.2024,23:21:41,System_issue,System_error,00:02:01,00:02:01
MatNr2,1068,PrMod1,TSys32,AB-1CD-9,01.09.2024,23:43:26,angel_to_wide,Tolerance_violence,00:01:53,00:01:53
MatNr1,1069,PrMod3,TSys32,AB-3CD-7,02.09.2024,00:12:01,Angel_to_low,Tolerance_violence,00:01:27,00:01:27
MatNr3,1070,PrMod1,TSys27,AB-1CD-4,02.09.2024,00:33:55,Angel_to_low,Tolerance_violence,00:02:08,00:02:08
MatNr1,1071,PrMod4,TSys32,AB-2CD-2,02.09.2024,00:59:41,OK,OK,00:01:31,00:01:31
MatNr1,1072,PrMod1,TSys54,AB-1CD-0,02.09.2024,01:22:55,OK,OK,00:02:09,00:02:09
MatNr1,1073,PrMod4,TSys54,AB-3CD-6,02.09.2024,01:45:15,OK,OK,00:01:55,00:01:55
MatNr2,1074,PrMod1,TSys27,AB-1CD-8,02.09.2024,02:06:24,OK,OK,00:02:19,00:02:19
MatNr3,1075,PrMod1,TSys32,AB-3CD-4,02.09.2024,02:30:28,OK,OK,00:01:57,00:01:57
MatNr1,1076,PrMod2,TSys32,AB-3CD-3,02.09.2024,02:52:34,Angel_to_low,Tolerance_violence,00:01:58,00:01:58
MatNr3,1077,PrMod2,TSys54,AB-2CD-4,02.09.2024,03:16:14,OK,OK,00:01:59,00:01:59
MatNr3,1078,PrMod3,TSys32,AB-1CD-5,02.09.2024,03:37:44,angel_to_wide,Tolerance_violence,00:01:53,00:01:53
MatNr1,1079,PrMod1,TSys27,AB-1CD-9,02.09.2024,04:01:39,OK,OK,00:02:16,00:02:16
MatNr3,1080,PrMod3,TSys32,AB-1CD-9,02.09.2024,04:27:57,OK,OK,00:02:14,00:02:14
MatNr3,1081,PrMod1,TSys27,AB-2CD-5,02.09.2024,04:50:25,OK,OK,00:01:54,00:01:54
MatNr3,1082,PrMod4,TSys54,AB-2CD-6,02.09.2024,05:13:16,OK,OK,00:01:31,00:01:31
MatNr2,1083,PrMod4,TSys27,AB-3CD-4,02.09.2024,05:39:35,OK,OK,00:01:33,00:01:33
MatNr2,1084,PrMod4,TSys54,AB-2CD-0,02.09.2024,06:02:34,OK,OK,00:02:01,00:02:01
MatNr3,1085,PrMod4,TSys27,AB-1CD-4,02.09.2024,06:28:23,angel_to_wide,Tolerance_violence,00:01:49,00:01:49
MatNr1,1086,PrMod4,TSys27,AB-1CD-0,02.09.2024,06:51:35,OK,OK,00:02:20,00:02:20
MatNr3,1087,PrMod3,TSys32,AB-1CD-3,02.09.2024,07:15:44,OK,OK,00:02:26,00:02:26
MatNr3,1088,PrMod2,TSys27,AB-3CD-6,02.09.2024,07:40:18,temperature_to_high,Tolerance_violence,00:02:09,00:02:09
MatNr3,1089,PrMod3,TSys32,AB-2CD-9,02.09.2024,08:08:33,angel_to_wide,Tolerance_violence,00:02:03,00:02:03
MatNr1,1090,PrMod2,TSys27,AB-3CD-5,02.09.2024,08:32:15,OK,OK,00:01:49,00:01:49
MatNr3,1091,PrMod2,TSys54,AB-1CD-1,02.09.2024,09:02:38,temperature_to_high,Tolerance_violence,00:01:24,00:01:24
MatNr2,1092,PrMod3,TSys27,AB-1CD-6,02.09.2024,09:26:53,OK,OK,00:01:43,00:01:43
MatNr3,1093,PrMod3,TSys32,AB-1CD-9,02.09.2024,09:51:09,OK,OK,00:01:39,00:01:39
MatNr3,1094,PrMod1,TSys32,AB-1CD-2,02.09.2024,10:15:08,OK,OK,00:02:16,00:02:16
MatNr1,1095,PrMod2,TSys54,AB-3CD-4,02.09.2024,10:38:53,OK,OK,00:02:07,00:02:07
MatNr1,1096,PrMod4,TSys27,AB-1CD-1,02.09.2024,10:59:46,Angel_to_low,Tolerance_violence,00:02:08,00:02:08
MatNr1,1097,PrMod3,TSys54,AB-3CD-6,02.09.2024,11:22:27,OK,OK,00:02:16,00:02:16
MatNr3,1098,PrMod3,TSys32,AB-3CD-6,02.09.2024,11:45:48,OK,OK,00:02:04,00:02:04
MatNr2,1099,PrMod2,TSys32,AB-3CD-9,02.09.2024,12:09:40,OK,OK,00:02:22,00:02:22
MatNr2,1100,PrMod3,TSys54,AB-1CD-0,02.09.2024,12:34:36,OK,OK,00:01:30,00:01:30
MatNr2,1101,PrMod1,TSys27,AB-2CD-8,02.09.2024,12:58:14,OK,OK,00:02:03,00:02:03
MatNr2,1102,PrMod4,TSys32,AB-3CD-7,02.09.2024,13:21:23,OK,OK,00:02:02,00:02:02
MatNr1,1103,PrMod4,TSys32,AB-3CD-3,02.09.2024,13:46:39,OK,OK,00:02:07,00:02:07
MatNr3,1104,PrMod1,TSys27,AB-3CD-2,02.09.2024,14:08:45,OK,OK,00:01:53,00:01:53
MatNr2,1105,PrMod1,TSys27,AB-1CD-2,02.09.2024,14:32:42,OK,OK,00:02:25,00:02:25
MatNr3,1106,PrMod2,TSys27,AB-3CD-7,02.09.2024,14:54:25,OK,OK,00:01:46,00:01:46
MatNr1,1107,PrMod3,TSys27,AB-1CD-9,02.09.2024,15:19:31,OK,OK,00:02:49,00:02:49
MatNr3,1108,PrMod2,TSys32,AB-2CD-5,02.09.2024,15:46:25,temperature_to_high,Tolerance_violence,00:02:33,00:02:33
MatNr3,1109,PrMod1,TSys27,AB-3CD-7,02.09.2024,16:08:53,OK,OK,00:01:58,00:01:58
MatNr3,1110,PrMod3,TSys27,AB-2CD-1,02.09.2024,16:31:11,OK,OK,00:02:10,00:02:10
MatNr2,1111,PrMod2,TSys32,AB-3CD-0,02.09.2024,16:56:03,OK,OK,00:01:44,00:01:44
MatNr2,1112,PrMod2,TSys54,AB-1CD-7,02.09.2024,17:21:30,OK,OK,00:02:01,00:02:01
MatNr3,1113,PrMod3,TSys54,AB-2CD-2,02.09.2024,17:44:18,OK,OK,00:01:06,00:01:06
MatNr1,1114,PrMod2,TSys32,AB-3CD-8,02.09.2024,18:05:11,OK,OK,00:01:39,00:01:39
MatNr2,1115,PrMod3,TSys27,AB-3CD-5,02.09.2024,18:29:17,OK,OK,00:01:44,00:01:44
MatNr3,1116,PrMod1,TSys27,AB-1CD-4,02.09.2024,18:49:44,OK,OK,00:01:51,00:01:51
MatNr1,1117,PrMod3,TSys27,AB-1CD-5,02.09.2024,19:13:05,System_issue,System_error,00:01:53,00:01:53
MatNr1,1118,PrMod1,TSys27,AB-1CD-3,02.09.2024,19:35:29,OK,OK,00:01:28,00:01:28
MatNr3,1119,PrMod2,TSys54,AB-3CD-1,02.09.2024,19:58:19,System_issue,System_error,00:01:43,00:01:43
MatNr3,1119,PrMod2,TSys54,AB-3CD-1,02.09.2024,20:02:35,System_issue,System_error,00:02:09,00:02:09
MatNr1,1120,PrMod3,TSys27,AB-2CD-8,02.09.2024,20:27:06,Angel_to_low,Tolerance_violence,00:02:08,00:02:08
MatNr1,1121,PrMod3,TSys54,AB-2CD-8,02.09.2024,20:48:57,OK,OK,00:02:10,00:02:10
MatNr2,1122,PrMod1,TSys32,AB-3CD-2,02.09.2024,21:14:15,angel_to_wide,Tolerance_violence,00:01:46,00:01:46
MatNr1,1123,PrMod3,TSys27,AB-1CD-7,02.09.2024,21:37:35,OK,OK,00:02:00,00:02:00
MatNr2,1124,PrMod4,TSys54,AB-2CD-9,02.09.2024,22:02:36,OK,OK,00:01:28,00:01:28
MatNr2,1125,PrMod4,TSys27,AB-2CD-8,02.09.2024,22:29:08,OK,OK,00:02:02,00:02:02
MatNr3,1126,PrMod4,TSys27,AB-3CD-4,02.09.2024,22:50:01,OK,OK,00:01:46,00:01:46
MatNr2,1127,PrMod1,TSys27,AB-3CD-2,02.09.2024,23:11:33,OK,OK,00:01:46,00:01:46
MatNr2,1128,PrMod4,TSys32,AB-2CD-4,02.09.2024,23:32:40,OK,OK,00:01:38,00:01:38
MatNr2,1129,PrMod1,TSys54,AB-1CD-0,02.09.2024,23:54:42,OK,OK,00:01:22,00:01:22
MatNr2,1130,PrMod2,TSys32,AB-3CD-2,03.09.2024,00:17:52,OK,OK,00:02:35,00:02:35
MatNr2,1131,PrMod3,TSys54,AB-3CD-6,03.09.2024,00:42:22,OK,OK,00:01:56,00:01:56
MatNr2,1132,PrMod2,TSys32,AB-2CD-0,03.09.2024,01:06:10,OK,OK,00:02:26,00:02:26
MatNr2,1133,PrMod2,TSys27,AB-2CD-9,03.09.2024,01:28:18,OK,OK,00:02:00,00:02:00
MatNr1,1134,PrMod4,TSys27,AB-3CD-5,03.09.2024,01:55:33,angel_to_wide,Tolerance_violence,00:02:05,00:02:05
MatNr2,1135,PrMod4,TSys32,AB-3CD-3,03.09.2024,02:18:36,OK,OK,00:02:04,00:02:04
MatNr1,1136,PrMod1,TSys27,AB-1CD-3,03.09.2024,02:46:01,OK,OK,00:01:51,00:01:51
MatNr1,1137,PrMod1,TSys54,AB-2CD-7,03.09.2024,03:10:27,OK,OK,00:02:16,00:02:16
MatNr2,1138,PrMod4,TSys27,AB-2CD-6,03.09.2024,03:34:17,OK,OK,00:02:13,00:02:13
MatNr2,1139,PrMod3,TSys54,AB-1CD-2,03.09.2024,04:06:26,Angel_to_low,Tolerance_violence,00:01:47,00:01:47
MatNr1,1140,PrMod2,TSys54,AB-3CD-1,03.09.2024,04:29:51,OK,OK,00:01:51,00:01:51
MatNr1,1141,PrMod4,TSys54,AB-2CD-2,03.09.2024,04:53:46,angel_to_wide,Tolerance_violence,00:01:42,00:01:42
MatNr3,1142,PrMod3,TSys27,AB-2CD-5,03.09.2024,05:28:39,angel_to_wide,Tolerance_violence,00:02:02,00:02:02
MatNr3,1143,PrMod2,TSys54,AB-2CD-7,03.09.2024,05:51:01,OK,OK,00:02:25,00:02:25
MatNr3,1144,PrMod4,TSys27,AB-3CD-8,03.09.2024,06:16:27,OK,OK,00:02:14,00:02:14
MatNr1,1145,PrMod1,TSys27,AB-2CD-2,03.09.2024,06:40:20,OK,OK,00:02:55,00:02:55
MatNr2,1146,PrMod3,TSys27,AB-3CD-7,03.09.2024,07:03:24,OK,OK,00:01:54,00:01:54
MatNr3,1147,PrMod2,TSys54,AB-2CD-3,03.09.2024,07:26:37,OK,OK,00:02:07,00:02:07
MatNr2,1148,PrMod2,TSys54,AB-1CD-0,03.09.2024,07:48:58,OK,OK,00:02:18,00:02:18
MatNr1,1149,PrMod4,TSys27,AB-3CD-6,03.09.2024,08:12:45,Angel_to_low,Tolerance_violence,00:02:29,00:02:29
MatNr2,1150,PrMod4,TSys32,AB-1CD-5,03.09.2024,08:41:19,angel_to_wide,Tolerance_violence,00:01:41,00:01:41
MatNr3,1151,PrMod4,TSys32,AB-2CD-0,03.09.2024,09:03:58,OK,OK,00:02:13,00:02:13
MatNr2,1152,PrMod2,TSys27,AB-2CD-3,03.09.2024,09:26:35,OK,OK,00:02:22,00:02:22
MatNr1,1153,PrMod3,TSys32,AB-1CD-4,03.09.2024,09:47:21,OK,OK,00:01:43,00:01:43
MatNr3,1154,PrMod3,TSys32,AB-3CD-7,03.09.2024,10:08:52,OK,OK,00:02:31,00:02:31
MatNr2,1155,PrMod3,TSys27,AB-3CD-6,03.09.2024,10:33:03,OK,OK,00:02:19,00:02:19
MatNr3,1156,PrMod4,TSys27,AB-2CD-4,03.09.2024,10:58:09,System_issue,System_error,00:02:04,00:02:04
MatNr2,1157,PrMod2,TSys27,AB-2CD-0,03.09.2024,11:19:46,temperature_to_high,Tolerance_violence,00:01:42,00:01:42
MatNr3,1158,PrMod4,TSys54,AB-1CD-0,03.09.2024,11:40:03,OK,OK,00:01:28,00:01:28
MatNr2,1159,PrMod3,TSys27,AB-3CD-7,03.09.2024,12:01:11,OK,OK,00:01:45,00:01:45
MatNr1,1160,PrMod1,TSys54,AB-3CD-2,03.09.2024,12:22:12,angel_to_wide,Tolerance_violence,00:01:36,00:01:36
MatNr3,1161,PrMod2,TSys27,AB-3CD-5,03.09.2024,12:45:36,OK,OK,00:02:08,00:02:08
MatNr3,1162,PrMod4,TSys54,AB-2CD-7,03.09.2024,13:09:46,Angel_to_low,Tolerance_violence,00:02:29,00:02:29
MatNr1,1163,PrMod3,TSys54,AB-2CD-2,03.09.2024,13:34:58,angel_to_wide,Tolerance_violence,00:02:18,00:02:18
MatNr1,1164,PrMod2,TSys27,AB-2CD-2,03.09.2024,14:01:00,OK,OK,00:01:58,00:01:58
MatNr1,1165,PrMod3,TSys32,AB-3CD-0,03.09.2024,14:23:14,OK,OK,00:02:19,00:02:19
MatNr3,1166,PrMod3,TSys32,AB-3CD-2,03.09.2024,14:46:48,OK,OK,00:01:43,00:01:43
MatNr3,1167,PrMod2,TSys54,AB-2CD-0,03.09.2024,15:08:31,OK,OK,00:01:38,00:01:38
MatNr2,1168,PrMod4,TSys32,AB-2CD-6,03.09.2024,15:32:19,angel_to_wide,Tolerance_violence,00:02:17,00:02:17
MatNr3,1169,PrMod1,TSys54,AB-1CD-2,03.09.2024,15:52:50,OK,OK,00:01:26,00:01:26
MatNr2,1170,PrMod3,TSys27,AB-1CD-4,03.09.2024,16:12:59,Angel_to_low,Tolerance_violence,00:01:54,00:01:54
MatNr2,1171,PrMod1,TSys54,AB-2CD-2,03.09.2024,16:38:45,OK,OK,00:01:32,00:01:32
MatNr3,1172,PrMod3,TSys32,AB-2CD-9,03.09.2024,17:01:49,OK,OK,00:02:09,00:02:09
MatNr1,1173,PrMod1,TSys32,AB-2CD-7,03.09.2024,17:22:21,OK,OK,00:02:43,00:02:43
MatNr2,1174,PrMod1,TSys54,AB-3CD-2,03.09.2024,17:42:54,Angel_to_low,Tolerance_violence,00:01:56,00:01:56
MatNr3,1175,PrMod1,TSys32,AB-2CD-2,03.09.2024,18:05:43,OK,OK,00:02:18,00:02:18
MatNr3,1176,PrMod4,TSys27,AB-3CD-8,03.09.2024,18:28:01,OK,OK,00:01:56,00:01:56
MatNr1,1177,PrMod4,TSys27,AB-2CD-2,03.09.2024,18:50:17,OK,OK,00:01:53,00:01:53
MatNr2,1178,PrMod3,TSys32,AB-1CD-2,03.09.2024,19:14:24,OK,OK,00:01:45,00:01:45
MatNr3,1179,PrMod2,TSys54,AB-2CD-1,03.09.2024,19:38:47,OK,OK,00:01:47,00:01:47
MatNr3,1180,PrMod4,TSys27,AB-3CD-3,03.09.2024,19:58:46,OK,OK,00:01:33,00:01:33
MatNr2,1181,PrMod1,TSys32,AB-3CD-8,03.09.2024,20:21:47,OK,OK,00:02:15,00:02:15
MatNr2,1182,PrMod2,TSys27,AB-3CD-6,03.09.2024,20:46:17,angel_to_wide,Tolerance_violence,00:02:05,00:02:05
MatNr1,1183,PrMod1,TSys32,AB-2CD-9,03.09.2024,21:12:14,angel_to_wide,Tolerance_violence,00:01:46,00:01:46
MatNr2,1184,PrMod4,TSys54,AB-2CD-5,03.09.2024,21:36:06,OK,OK,00:01:49,00:01:49
MatNr3,1185,PrMod3,TSys54,AB-1CD-5,03.09.2024,21:58:40,OK,OK,00:01:59,00:01:59
MatNr3,1186,PrMod3,TSys27,AB-3CD-3,03.09.2024,22:23:59,OK,OK,00:01:39,00:01:39
MatNr1,1187,PrMod2,TSys54,AB-1CD-9,03.09.2024,22:49:13,OK,OK,00:01:36,00:01:36
MatNr1,1188,PrMod1,TSys27,AB-3CD-0,03.09.2024,23:12:45,OK,OK,00:02:01,00:02:01
MatNr1,1189,PrMod3,TSys32,AB-3CD-3,03.09.2024,23:36:13,OK,OK,00:01:49,00:01:49
MatNr2,1190,PrMod2,TSys32,AB-1CD-7,04.09.2024,00:00:58,Angel_to_low,Tolerance_violence,00:01:35,00:01:35
MatNr3,1191,PrMod3,TSys27,AB-3CD-9,04.09.2024,00:23:38,System_issue,System_error,00:02:39,00:02:39
MatNr1,1192,PrMod3,TSys54,AB-2CD-7,04.09.2024,00:47:54,System_issue,System_error,00:01:43,00:01:43
MatNr1,1193,PrMod2,TSys27,AB-1CD-4,04.09.2024,01:11:16,OK,OK,00:02:33,00:02:33
MatNr1,1194,PrMod2,TSys27,AB-2CD-9,04.09.2024,01:33:13,OK,OK,00:01:35,00:01:35
MatNr3,1195,PrMod2,TSys32,AB-3CD-3,04.09.2024,01:56:02,OK,OK,00:01:55,00:01:55
MatNr1,1196,PrMod1,TSys54,AB-1CD-6,04.09.2024,02:18:25,OK,OK,00:02:11,00:02:11
MatNr2,1197,PrMod1,TSys27,AB-3CD-2,04.09.2024,02:44:29,OK,OK,00:01:47,00:01:47
MatNr1,1198,PrMod2,TSys54,AB-2CD-4,04.09.2024,03:17:15,angel_to_wide,Tolerance_violence,00:01:44,00:01:44
MatNr2,1199,PrMod3,TSys54,AB-3CD-4,04.09.2024,03:41:53,OK,OK,00:02:03,00:02:03
MatNr1,1200,PrMod4,TSys32,AB-2CD-8,04.09.2024,04:10:01,angel_to_wide,Tolerance_violence,00:02:27,00:02:27
MatNr1,1201,PrMod1,TSys27,AB-1CD-2,04.09.2024,04:34:11,OK,OK,00:02:07,00:02:07
MatNr3,1202,PrMod3,TSys32,AB-3CD-6,04.09.2024,04:54:12,System_issue,System_error,00:02:06,00:02:06
MatNr2,1203,PrMod3,TSys27,AB-1CD-2,04.09.2024,05:17:49,OK,OK,00:02:05,00:02:05
MatNr3,1204,PrMod4,TSys27,AB-1CD-6,04.09.2024,05:42:24,OK,OK,00:01:51,00:01:51
MatNr3,1205,PrMod1,TSys54,AB-2CD-2,04.09.2024,06:04:30,OK,OK,00:01:30,00:01:30
MatNr1,1206,PrMod2,TSys32,AB-2CD-6,04.09.2024,06:29:01,OK,OK,00:01:30,00:01:30
MatNr1,1207,PrMod4,TSys27,AB-2CD-3,04.09.2024,06:50:49,OK,OK,00:02:11,00:02:11
MatNr1,1208,PrMod1,TSys32,AB-1CD-3,04.09.2024,07:14:51,OK,OK,00:02:21,00:02:21
MatNr2,1209,PrMod3,TSys32,AB-2CD-9,04.09.2024,07:38:19,System_issue,System_error,00:02:03,00:02:03
MatNr2,1210,PrMod3,TSys27,AB-1CD-0,04.09.2024,08:04:01,angel_to_wide,Tolerance_violence,00:02:00,00:02:00
MatNr3,1211,PrMod3,TSys54,AB-2CD-5,04.09.2024,08:26:36,OK,OK,00:02:33,00:02:33
MatNr2,1212,PrMod4,TSys32,AB-2CD-8,04.09.2024,08:49:17,OK,OK,00:01:00,00:01:00
MatNr3,1213,PrMod3,TSys54,AB-2CD-5,04.09.2024,09:08:46,Angel_to_low,Tolerance_violence,00:01:53,00:01:53
MatNr3,1214,PrMod4,TSys54,AB-1CD-9,04.09.2024,09:33:09,OK,OK,00:01:47,00:01:47
MatNr1,1215,PrMod2,TSys54,AB-3CD-1,04.09.2024,09:57:56,OK,OK,00:02:00,00:02:00
MatNr3,1216,PrMod2,TSys54,AB-1CD-4,04.09.2024,10:21:11,OK,OK,00:01:50,00:01:50
MatNr1,1217,PrMod4,TSys32,AB-3CD-6,04.09.2024,10:44:41,OK,OK,00:02:10,00:02:10
MatNr1,1218,PrMod3,TSys54,AB-1CD-0,04.09.2024,11:09:39,OK,OK,00:01:45,00:01:45
MatNr1,1219,PrMod2,TSys54,AB-1CD-9,04.09.2024,11:37:21,angel_to_wide,Tolerance_violence,00:01:26,00:01:26
MatNr3,1220,PrMod3,TSys54,AB-1CD-0,04.09.2024,11:59:23,OK,OK,00:02:04,00:02:04
MatNr2,1221,PrMod3,TSys27,AB-2CD-6,04.09.2024,12:22:40,System_issue,System_error,00:02:24,00:02:24
